name,description,price,price_per_unit,category
MAXWELL HOUSE COFFEE,9.9-11.5 Oz. Can,5.99,,Grocery
GREEN MOUNTAIN COFFEE K-CUPS,Assorted Varieties: Lavazza or 10 Ct. Box,7.49,,Snacks & Beverage
VOORTMAN COOKIES,"Assorted Varieties

5-11.3 Oz. Pkg.",7.00,,Snacks & Beverage
PALMOLIVE ULTRA DISH LIQUID,"Antibacterial Orange, Oxy Degreaser or Original
32.5 Oz. Btl",4.99,,Household Needs
FILIPPO BERIO PURE OLIVE OIL,33.8 Oz. Can,12.99,,Grocery
KRASDALE WHITE VINEGAR,1 Gal. Btl.,7.00,,Sauces and Spices
KRASDALE DRAWSTRING TRASH BAGS 28 Ct. Box,Prepriced $7.99: Tall Kitchen 45 Ct.; or 30 Gal.,6.99,,Grocery
CHEEZ-IT CRACKERS 11.5-12.4 Oz. Box,"Classic Snack Mix (10.5 Oz.);
Snap'd (7.5 Oz.); Puff'd (5.75 Oz.); Grooves (9 Oz.); or",4.49,,Snacks & Beverage
TOP RAMEN NOODLES FAMILY PACK,"Chicken or Beef

12 Pk. 3 Oz. Pkgs.",5.49,,Grocery
HEINEKEN BEER,"*Plus Deposit: Modelo Especial or Negra; Corona Extra, Light,
Premier, or Familiar; Alcohol Free,
Regular or Light
6 Pk. 11.2-12 Oz. Btls. or Cans.",10.99,,Beer
VOORTMAN WAFERS,"Assorted Varieties

10.6 Oz. Pkg.",2.99,,Grocery
OLD EL PASO REFRIED BEANS,"Vegetarian, Fat Free or Regular

16 Oz. Can",1.99,,Canned Foods
MOTT'S JUICE BOXES,8 Pk. 6.75 Oz. Brkpks.,4.49,,Snacks & Beverage
MAXWELL HOUSE INTERNATIONAL CAFE,"Latte, or 7.6-9 Oz. Can",4.49,,Grocery
BUMBLE BEE PINK SALMON,14.75 Oz. Cans,4.49,,Meat & Seafood
NESQUIK CHOCOLATE POWDER DRINK MIX,44.9 Oz. Cnstr.,14.99,,Grocery
LIPTON ZERO SUGAR ICED TEA MIX 2.9 Oz. Cnstr,"Makes 10 Qts.: 25% Less Sugar w/Lemon (18 Oz.); Raspberry, Peach or Lemon",4.99,,Snacks & Beverage
GOYA MALTA,10 Pk. 7 Oz. Btls.,6.49,,Snacks & Beverage
"FILIPPO BERIO, EXTRA VIRGIN OLIVE OIL VINEGAR","or Regular

8.4 Oz. Btl.",3.99,,Grocery
KRASDALE GRANULATED SUGAR,10 lb. Bag,9.99,,Grocery
KELLOGG'S NUTRIGRAIN BARS 10.4 Oz. Box,Original Rice Krispies Treats (6.98 Oz.); or Assorted Varieties,3.99,,Snacks & Beverage
CHI CHI'S MEDIUM CASERA OR MILD VERDE OR HERDEZ SALSA,"Mild or Medium

16 Oz. Jar",3.29,,Grocery
OLD EL PASO RED ENCHILADA SAUCE 19 Oz. Can,"Zesty Ranch, Mild Taco, Creamy Salsa Verde or Creamy Queso Sauce (9 Oz. Btl.); or Mild",3.69,,Grocery
"WINDEX CLEANERS, 23 Oz. Btl","Assorted Varieties
Lemon or Fresh Bathroom Cleaner
(20 Oz. Can); or Rainshower
•SCRUBBING
BUBBLES
TOILET GEL
1.34 Oz. Pkg.",4.99,,Household Needs
WESSON VEGETABLE OIL,"or Corn, Canola
40 Oz. Btl.",4.49,,Grocery
MAXWELL HOUSE INSTANT COFFEE,8 Oz. Jar,9.49,,Grocery
KRASDALE MAYONNAISE,"Squeeze
(12 Oz. Btl.); or 15 Oz. Jar",2.99,,Dairy
KRASDALE ALUMINUM FOIL,"Economy

75 Sq. Ft. Roll",5.99,,Household Needs
RACHAEL RAY NUTRISH DOG FOOD,"Assorted Varieties

13 Oz. Can",5.00,,Pets
